order_id,customer_id,product_id,order_date,quantity,price
1,159,204,2024-09-19,4,1117
2,173,206,2024-08-06,4,218
3,147,202,2024-08-04,1,1405
4,118,213,2024-11-24,5,441
5,161,220,2024-10-04,2,1313
6,103,206,2024-05-25,4,253
7,183,219,2024-08-19,1,677
8,168,217,2024-08-07,1,344
9,154,220,2024-08-25,2,981
10,188,209,2024-10-14,1,1135
11,150,220,2024-07-01,1,570
12,167,219,2024-06-21,2,170
13,144,202,2024-08-04,2,685
14,127,202,2024-05-16,4,1147
15,169,219,2024-06-15,3,497
16,190,220,2024-11-13,3,858
17,110,205,2024-08-21,2,1215
18,152,214,2024-01-24,2,1458
19,127,209,2024-03-27,2,1016
20,174,219,2024-11-26,4,490
21,153,214,2024-08-19,2,1099
22,160,220,2024-07-25,1,263
23,174,208,2024-12-13,5,59
24,175,218,2024-10-24,5,1167
25,133,217,2024-09-14,1,496
26,106,209,2024-02-22,2,169
27,154,215,2024-09-19,5,443
28,188,206,2024-10-30,5,1335
29,134,203,2024-01-22,4,736
30,183,213,2024-07-18,4,1122
31,144,210,2024-12-04,4,538
32,163,203,2024-07-15,3,922
33,148,209,2024-04-21,3,280
34,153,204,2024-03-13,2,242
35,109,202,2024-02-18,1,318
36,107,216,2024-12-13,3,1061
37,171,216,2024-10-30,3,780
38,119,215,2024-08-16,3,1177
39,150,210,2024-07-15,5,1002
40,164,210,2024-05-09,3,1399
41,135,219,2024-11-11,4,146
42,141,212,2024-12-20,2,1240
43,192,201,2024-12-05,5,1477
44,186,217,2024-07-04,2,908
45,179,204,2024-04-27,4,818
46,165,202,2024-06-13,2,111
47,152,214,2024-10-19,1,245
48,171,212,2024-02-08,5,1465
49,117,214,2024-07-28,5,1339
50,171,204,2024-03-08,2,839
51,114,212,2024-09-17,5,333
52,132,211,2024-10-11,4,1022
53,185,208,2024-01-31,4,216
54,139,203,2024-10-28,2,1008
55,126,207,2024-04-10,3,1327
56,141,211,2024-10-03,4,859
57,137,220,2024-08-01,3,658
58,173,209,2024-06-15,3,1336
59,153,210,2024-09-21,2,1177
60,142,211,2024-05-24,2,327
61,125,213,2024-07-24,4,489
62,156,212,2024-06-29,4,232
63,128,206,2024-05-06,2,302
64,198,215,2024-12-24,1,428
65,143,218,2024-10-11,2,291
66,136,217,2024-03-09,3,919
67,114,220,2024-05-25,5,845
68,167,219,2024-05-13,2,454
69,185,217,2024-03-20,1,984
70,173,209,2024-03-08,4,1037
71,140,203,2024-10-22,1,1490
72,198,204,2024-02-21,1,1345
73,169,219,2024-01-21,2,392
74,157,220,2024-03-15,5,1281
75,137,216,2024-12-24,3,453
76,175,207,2024-05-15,2,836
77,129,213,2024-10-22,3,1494
78,116,214,2024-03-12,3,570
79,131,213,2024-08-28,1,477
80,166,219,2024-02-08,1,1151
81,151,202,2024-06-23,2,854
82,124,202,2024-05-12,3,608
83,186,207,2024-01-16,3,828
84,109,215,2024-02-12,2,915
85,115,213,2024-12-09,4,1099
86,133,211,2024-10-26,1,1177
87,138,204,2024-12-17,2,66
88,135,214,2024-05-03,3,856
89,194,202,2024-11-16,1,1271
90,152,213,2024-07-22,4,1397
91,155,202,2024-12-09,5,743
92,120,204,2024-04-11,2,147
93,124,212,2024-03-24,5,196
94,170,209,2024-08-24,1,990
95,135,220,2024-08-05,1,1146
96,158,214,2024-05-04,3,297
97,178,204,2024-05-06,5,1422
98,116,217,2024-04-27,1,933
99,120,219,2024-12-02,5,784
100,134,218,2024-10-04,2,1213
101,143,204,2024-03-14,5,896
102,186,203,2024-11-08,1,181
103,168,219,2024-02-17,2,1433
104,106,204,2024-10-14,4,1003
105,174,203,2024-08-29,2,1466
106,184,205,2024-01-25,5,810
107,158,216,2024-11-06,2,278
108,146,203,2024-04-17,3,1344
109,130,204,2024-07-20,5,1323
110,200,213,2024-04-17,3,759
111,123,211,2024-12-27,4,157
112,134,205,2024-01-19,2,585
113,148,205,2024-12-20,4,396
114,128,208,2024-07-07,1,943
115,189,219,2024-10-14,4,235
116,135,217,2024-02-14,5,1482
117,198,207,2024-08-11,4,860
118,130,215,2024-07-18,1,85
119,175,220,2024-04-19,2,915
120,122,212,2024-04-01,2,1478
121,139,204,2024-10-14,2,57
122,163,201,2024-03-05,4,1226
123,134,219,2024-09-24,1,1362
124,150,205,2024-06-11,4,163
125,131,209,2024-09-02,2,1195
126,114,208,2024-10-31,2,1059
127,155,208,2024-09-07,2,553
128,116,203,2024-05-25,5,833
129,177,214,2024-03-14,1,901
130,196,209,2024-05-03,2,1219
131,144,208,2024-07-05,5,404
132,161,211,2024-11-19,1,66
133,121,215,2024-04-14,2,525
134,194,205,2024-07-13,1,355
135,115,208,2024-05-09,5,270
136,153,203,2024-01-12,4,973
137,146,211,2024-08-12,2,1404
138,122,202,2024-06-22,1,654
139,190,201,2024-08-22,3,937
140,186,218,2024-06-05,1,811
141,174,201,2024-08-08,4,987
142,137,205,2024-01-14,5,741
143,130,213,2024-03-23,2,1376
144,162,216,2024-07-01,4,1353
145,126,212,2024-03-09,4,929
146,161,220,2024-08-14,1,1144
147,184,205,2024-04-04,5,116
148,159,219,2024-07-13,2,1034
149,193,212,2024-09-22,5,358
150,140,212,2024-10-25,4,76
151,120,202,2024-11-12,5,846
152,134,207,2024-08-07,1,103
153,129,214,2024-11-07,3,215
154,123,220,2024-11-21,3,1049
155,126,204,2024-05-25,5,1092
156,148,201,2024-12-14,5,573
157,156,209,2024-01-14,3,384
158,115,201,2024-03-28,2,212
159,183,203,2024-05-18,5,113
160,132,218,2024-04-04,2,175
161,133,206,2024-04-28,3,1048
162,132,215,2024-12-24,2,1398
163,191,209,2024-09-14,4,1092
164,134,204,2024-06-23,4,891
165,200,216,2024-01-05,2,519
166,142,220,2024-05-25,5,1317
167,172,220,2024-01-27,3,205
168,185,213,2024-03-28,5,94
169,145,215,2024-08-07,1,1459
170,194,210,2024-09-03,2,1242
171,162,201,2024-01-31,4,53
172,180,218,2024-12-22,2,1399
173,109,201,2024-01-24,4,1028
174,137,212,2024-09-29,2,802
175,198,210,2024-08-10,5,1168
176,169,205,2024-05-05,4,1337
177,167,217,2024-11-24,1,510
178,116,210,2024-12-16,4,803
179,149,208,2024-12-13,2,1273
180,179,209,2024-12-03,2,1467
181,174,208,2024-12-06,2,1360
182,171,204,2024-07-30,5,551
183,163,220,2024-08-24,4,1363
184,154,217,2024-07-10,2,398
185,189,206,2024-03-18,4,1038
186,109,219,2024-05-01,5,661
187,103,209,2024-10-01,1,717
188,139,212,2024-12-06,4,837
189,188,211,2024-06-10,4,1382
190,140,207,2024-04-11,3,287
191,162,202,2024-05-07,3,1160
192,174,210,2024-07-09,5,366
193,133,215,2024-02-03,1,1372
194,197,216,2024-06-19,5,1350
195,118,205,2024-01-23,1,1497
196,149,211,2024-03-20,2,1318
197,140,201,2024-11-23,5,508
198,200,201,2024-05-23,2,1350
199,138,203,2024-01-25,3,906
200,191,202,2024-06-04,2,581
