product_id,product_name,category,cost_price
2000,Product_2000,Accessories,455.65
2001,Product_2001,Toys,370.89
2002,Product_2002,Accessories,256.76
2003,Product_2003,Electronics,454.94
2004,Product_2004,Toys,140.88
2005,Product_2005,Toys,358.25
2006,Product_2006,Clothing,224.28
2007,Product_2007,Accessories,301.15
2008,Product_2008,Toys,235.04
2009,Product_2009,Accessories,256.1
2010,Product_2010,Toys,168.36
2011,Product_2011,Accessories,365.28
2012,Product_2012,Clothing,151.99
2013,Product_2013,Toys,37.2
2014,Product_2014,Clothing,230.9
2015,Product_2015,Toys,290.4
2016,Product_2016,Electronics,365.96
2017,Product_2017,Accessories,318.35
2018,Product_2018,Books,188.44
2019,Product_2019,Electronics,18.8
2020,Product_2020,Toys,428.81
2021,Product_2021,Toys,360.66
2022,Product_2022,Toys,163.93
2023,Product_2023,Books,16.22
2024,Product_2024,Books,276.41
2025,Product_2025,Electronics,98.47
2026,Product_2026,Electronics,49.1
2027,Product_2027,Clothing,344.12
2028,Product_2028,Accessories,404.36
2029,Product_2029,Toys,305.2
2030,Product_2030,Toys,339.81
2031,Product_2031,Electronics,12.45
2032,Product_2032,Toys,101.16
2033,Product_2033,Electronics,438.57
2034,Product_2034,Clothing,90.81
2035,Product_2035,Clothing,417.11
2036,Product_2036,Books,336.18
2037,Product_2037,Accessories,193.1
2038,Product_2038,Toys,314.19
2039,Product_2039,Clothing,29.72
2040,Product_2040,Electronics,161.37
2041,Product_2041,Clothing,279.9
2042,Product_2042,Electronics,293.85
2043,Product_2043,Electronics,438.23
2044,Product_2044,Electronics,25.49
2045,Product_2045,Books,203.99
2046,Product_2046,Toys,379.07
2047,Product_2047,Toys,205.45
2048,Product_2048,Electronics,190.71
2049,Product_2049,Electronics,481.83
